,Date,Study,Study Link,Journal,Result,Study Type,Measure of Evidence Strength,Sample (n)
0,2020-04-01,Why are pregnant women susceptible to COVID-19? An immunological viewpoint,https://www.sciencedirect.com/science/article/pii/S0165037820300437?via%3Dihub,Journal of Reproductive Immunology,"Moreover, due to the characteristic immune responses during pregnancy and potential risks from the cytokine-storm by COVID-19 infection, pregnant women with COVID-19 may face severe morbidity and even mortality.",,,
1,2020-04-01,Scrutinizing the SARS-CoV-2 protein information for the designing an effective vaccine encompassing both the T-cell and B-cell epitopes,https://doi.org/10.1101/2020.03.26.009209,Biorxiv,"In our vaccine development process against the SARS-CoV-2, the antigenic viral proteins were screened for the most immunogenic and antigenic B-cell and T-cell epitopes that could efficiently evoke the immune response.",,,
2,2020-03-31,Use of Systemic Immunomodulatory Therapies During the Coronavirus Disease 2019 (COVID-19) Pandemic,https://www.jaad.org/article/S0190-9622(20)30478-3/pdf,Journal of the American Academy of Dermatology,"As clinical evidence is collected to inform evidenced-based guidelines for management of COVID-19, dermatologists should use their clinical judgement, the existing AAD guidelines, and an understanding of pathophysiology to determine the appropriate risk-benefit of using systemic immunomodulating therapies.",,,
3,2020-03-27,Elevated serum IgM levels indicate poor outcome in patients with coronavirus disease 2019 pneumonia: A retrospective case-control study,https://www.medrxiv.org/content/10.1101/2020.03.22.20041285v1,MedRxiv,"These results indicate that dynamics of SARS-CoV-2 specific IgM and IgG antibodies was similar with that of SARS-CoV, while elevated serum IgM levels indicate poor outcome in patients with COVID-19 pneumonia",,,
4,2020-03-27,Immune Cell Profiling of COVID-19 Patients in the Recovery Stage by Single-Cell Sequencing,https://www.medrxiv.org/content/10.1101/2020.03.23.20039362v2,MedRxiv,"In conclusion, our study provides the first immune atlas of patients who have recovered from COVID-19 and identifies adaptive immune dysregulation after discharge. The clonal expansion of both T and B cells indicates that the immune system has gradually recovered; however, the sustained hyper-inflammatory response for more than 7 days after discharge suggests the need for medical observation after patients are discharged from hospital",,,
5,2020-03-25,Novel decoy cellular vaccine strategy utilizing transgenic antigen-expressing cells as immune presenter and adjuvant in vaccine prototype against SARS-CoV-2 virus,https://www.sciencedirect.com/science/article/pii/S2590098620300130?via%3Dihub,Medicine in Drug Discovery,"This novel virus decoy cellular vaccine is designed to initiate NK cell-driven immune activation with the ultimate goal of inducing protective adaptive host immunity. NK cell-induced I-cell death should result in cytokine release, recruitment of antigen presenting cells (APCs), and maturation of elicited dendritic cells (DCs) at the site of vaccination.",,,
6,2020-03-20,Characterization of anti-viral immunity in recovered individuals infected by SARS-CoV-2,https://doi.org/10.1101/2020.03.17.20036640,MedRxiv,"We found that compared to discharged patients, there was a trend towards an increased frequency of NK cells in the follow-up patients.  S-RBD thus not only elicited humoral immunity that may result in blockade of receptor binding during viral entry in host cells, but also induced T cell immune responses, suggesting S-RBD is a promising target for SARS-CoV-2 vaccines",,,
7,2020-03-17,Blood single cell immune profiling reveals the interferon-MAPK pathway mediated adaptive immune response for COVID-19,https://www.medrxiv.org/content/10.1101/2020.03.15.20033472v1,MedRxiv,Our study also shows that the activation of the interferon-MAPK signaling pathway and TCR- and BCRproduced antibodies play key roles in combating SARS-CoV-2 infection,,,
8,2020-03-17,Cross-reactive antibody response between SARS-CoV-2 and SARS-CoV infections,https://doi.org/10.1101/2020.03.15.993097,BioRxiv,The work here shows that antibody responses in the SARS-CoV-2 infected patient cohort are generated to both S protein and RBD in the majority of the patients,,,
9,2020-03-16,"Immunopathological characteristics of coronavirus disease 2019 cases in Guangzhou, China",https://doi.org/10.1101/2020.03.12.20034736,MedRxiv,"In conclusion, our study shows that the comprehensive decrease of lymphocytes, and the elevation of IL-2 and IL-6 are reliable indicators of severe COVID-19.",,,
10,2020-03-15,Perspectives on therapeutic neutralizing antibodies against the Novel Coronavirus SARS-CoV-2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098029/,International Journal of Biological Sciences,"The efforts of NAb development will surely be an area of intense research in the coming months and even years. Currently, several strategies are used in the clinic or under development, such as viral-targeting therapeutics and host-targeting agents (such as interferons, glucocorticoids) for the treatment of COVID-19. As compared with these therapeutic strategies, NAbs appear to be more specific for virions.",Review,,
